HOME,34.463110483865975,-118.50965459222003
OTCH,34.45975046429414,-118.51028600371183
HCCH,34.459785217302176,-118.5117275060168
HCJE,34.45289456661756,-118.51306798252055
HCBQ,34.44269029834124,-118.51231463230131
CWBQ,34.43995396782858,-118.51467085575806
SHOT,34.4339390133357,-118.52839144945669
SEBQ,34.43325156242191,-118.53143690830154
NRBQ,34.427236125491945,-118.53723930905393
VBBQ,34.42270112536374,-118.54103811829492
VBCD,34.421114478287436,-118.54764195539722
VBMM,34.41605022837085,-118.54975774804231
VBMB,34.41320723824233,-118.5598558485123
MBMM,34.419739359762445,-118.56272499133281
MBNR,34.43141392538204,-118.55749962520566
MBDC,34.444210443167194,-118.55339627009936
MBCH,34.4621857107467,-118.54977377685886
SECH,34.46001538658192,-118.53437427990669
